CT.Bin,Ct.Change,Overall_n,Infection,Infection_Upr,Infection_Lwr
37.5,Decrease,23,0.3738,0.5397355804855568,0.2078644195144433
37.5,Increase,61,0.21372131147540985,0.3000538491538485,0.12738877379697122
36.5,Decrease,21,0.42299047619047614,0.6003172834471452,0.24566366893380712
36.5,Increase,54,0.30227777777777776,0.4050734343880301,0.1994821211675254
35.5,Decrease,19,0.5468315789473684,0.7346797923529969,0.35898336554174004
35.5,Increase,50,0.478352,0.59455165135244,0.3621523486475599
34.5,Decrease,12,0.9077666666666666,1,0.7703726874944931
34.5,Increase,42,0.5827428571428571,0.7078963518362116,0.45758936244950266
33.5,Decrease,12,0.9981833333333334,1,0.9779634141871575
33.5,Increase,31,0.6518129032258065,0.7925518261477346,0.5110739803038785
32.5,Decrease,11,1,1,1
32.5,Increase,24,0.8543416666666667,0.9727834936736875,0.7358998396596458
31.5,Decrease,10,1,1,1
31.5,Increase,20,0.9471499999999999,1,0.8648605543667411
30.5,Decrease,7,1,1,1
30.5,Increase,14,0.9285714285714286,1,0.8153556703513639
29.5,Decrease,7,1,1,1
29.5,Increase,11,0.9999999999999999,1,0.9999999947744015
28.5,Decrease,5,0.9999999999999999,1,0.9999999922491849
28.5,Increase,11,1,1,1
27.5,Decrease,3,1,1,1
27.5,Increase,8,1,1,1
26.5,Decrease,4,1,1,1
26.5,Increase,9,1,1,1
25.5,Decrease,3,1,1,1
25.5,Increase,6,1,1,1
24.5,Decrease,1,1,1,1
24.5,Increase,5,0.9999999999999999,1,0.9999999922491849
23.5,Decrease,1,1,1,1
23.5,Increase,4,0.9999999999999999,1,0.9999999913343253
22.5,Decrease,1,1,1,1
22.5,Increase,4,0.9999999999999999,1,0.9999999913343253
21.5,Increase,2,1,1,1
20.5,Increase,2,1,1,1
19.5,Increase,3,1,1,1
18.5,Increase,3,1,1,1
17.5,Increase,3,1,1,1
16.5,Increase,2,1,1,1
15.5,Increase,2,1,1,1
