t,eff_se_40,eff_se_35
3,0.669,0.458
2.9583333333333335,0.671,0.47
2.9166666666666665,0.667,0.496
2.875,0.669,0.452
2.8333333333333335,0.678,0.47
2.7916666666666665,0.673,0.51
2.75,0.701,0.498
2.7083333333333335,0.703,0.527
2.6666666666666665,0.712,0.532
2.625,0.711,0.533
2.5833333333333335,0.725,0.54
2.5416666666666665,0.746,0.547
2.5,0.728,0.535
2.4583333333333335,0.778,0.584
2.416666666666667,0.755,0.564
2.375,0.769,0.603
2.3333333333333335,0.779,0.585
2.291666666666667,0.761,0.596
2.25,0.788,0.579
2.2083333333333335,0.805,0.603
2.166666666666667,0.792,0.618
2.125,0.799,0.602
2.0833333333333335,0.806,0.618
2.041666666666667,0.817,0.648
2,0.808,0.672
1.9583333333333335,0.832,0.654
1.9166666666666667,0.838,0.656
1.875,0.841,0.694
1.8333333333333335,0.855,0.698
1.7916666666666667,0.859,0.699
1.75,0.858,0.691
1.7083333333333335,0.856,0.716
1.6666666666666667,0.855,0.717
1.625,0.867,0.733
1.5833333333333335,0.887,0.722
1.5416666666666667,0.885,0.763
1.5,0.893,0.74
1.4583333333333335,0.886,0.74
1.4166666666666667,0.89,0.775
1.375,0.902,0.786
1.3333333333333335,0.898,0.769
1.2916666666666667,0.916,0.785
1.25,0.917,0.79
1.2083333333333335,0.912,0.828
1.1666666666666667,0.913,0.798
1.125,0.912,0.824
1.0833333333333335,0.922,0.833
1.0416666666666667,0.923,0.836
1,0.934,0.844
0.9583333333333335,0.934,0.854
0.916666666666667,0.944,0.843
0.875,0.943,0.862
0.8333333333333335,0.948,0.87
0.791666666666667,0.954,0.879
0.75,0.949,0.867
0.7083333333333335,0.951,0.873
0.666666666666667,0.961,0.889
0.625,0.955,0.891
0.5833333333333335,0.96,0.882
0.541666666666667,0.969,0.91
0.5,0.971,0.909
0.4583333333333335,0.966,0.914
0.41666666666666696,0.976,0.914
0.375,0.974,0.923
0.3333333333333335,0.979,0.926
0.29166666666666696,0.978,0.933
0.25,0.983,0.928
0.20833333333333348,0.987,0.931
0.16666666666666696,0.984,0.943
0.125,0.979,0.949
0.08333333333333348,0.992,0.951
0.04166666666666696,0.984,0.952
-0,0.98,0.957
