CT.T1,N1_CT_Value,N1_CT_Value_resid
31.37,35.84,0.41639300451668504
33.15,38.35,0.654197767853681
32.59,38,1.0190457074779857
32.12,35.03,-1.3509926289087417
33.22,39.2,1.4148417754006388
30.27,34.46,0.44055860020730364
31.18,37.25,2.0689306983177858
31.9,35.3,-0.8001595097706229
33.06,38.37,0.789084043864726
30.39,33.8,-0.3726231011407748
22.95,28.05,3.374642382439422
27.64,34.5,3.8377908880857774
30.43,36.5,2.2763163317432102
28.65,31.6,-0.3514884315937863
28.16,30.54,-0.7859964844225118
32.51,38.07,1.191166841710043
32.59,38.2,1.2190457074779886
33.83,36.86,-1.7038318731187019
19.19,19.31,-0.5656643086544655
19.88,19.8,-0.9564590914058471
32.86,37.5,0.17438687944483888
24.5,27.72,1.0660454066935472
23.67,26.49,0.8955521743510104
31.9,37.46,1.3598404902293808
32.08,34.6,-1.7299320617927165
25.62,28.98,0.8963495274449151
29.63,33.55,0.3475276740636559
30.25,32.8,-1.1939111162346947
30.38,34.5,0.3401420406382414
31.24,35.25,-0.0076601523562445095
18.79,20.06,0.6949413625057623
23.1,24.94,0.0731652557543363
31.17,35.5,0.331695840096792
32.28,38.85,2.264765102627166
31.52,38.47,2.854915877831594
30.61,35.5,1.0465437797211052
31.62,37.9,2.1572644600415387
26,28.04,-0.5287258601572944
30.96,35.94,1.0397638174559063
33.05,30.87,-6.698150814356264
31.49,33.6,-1.9767886968313846
32.24,37,0.4658256697431895
33.44,37.38,-0.6859913437374772
31.23,35.6,0.35510498942275603
31.9,34.4,-1.7001595097706215
23.37,24.83,-0.3814935722788171
32.77,36.1,-1.1107268445441107
33.24,33.63,-4.180688508157374
33.72,38.83,0.4065846864503584
32.43,35.87,-0.9067120240579172
35.37,37.04,-3.489663707085569
33.86,39.92,1.3178727015442817
32.96,37.06,-0.393264538345214
31.57,35.28,-0.3989098310634347
33.35,39.68,1.7288949322735618
23.55,24.45,-0.9912661243009175
32.65,38.02,0.9624548568039657
31.31,39.58,4.23298385519071
30.34,32.06,-2.0487973922457385
30.22,33.59,-0.36561569089766977
32.23,38.45,1.9285908115221986
32.03,37.1,0.8338936471023075
31.99,35.64,-0.5750457857816684
31.83,37.17,1.1591964826824253
31.01,34.86,-0.10406189143912314
21.39,22.6,-0.08399550003570155
24.44,23.15,-3.427363742632423
28.27,31.1,-0.36641304399157093
25.92,27.3,-1.16660472592525
30.22,33.33,-0.6256156908976749
32.17,36.91,0.4651816621962226
23.88,24.9,-0.9625158030081025
33.52,38.57,0.40188752203046363
31.86,36.1,0.050901057345406286
31.19,34.89,-0.3038344434612199
21.9,23.36,0.024982269235014343
26.65,27.05,-2.348460075792662
29.76,32.35,-1.0184191690634137
34.28,36.7,-2.4382632531739574
24.53,23.16,-3.53225001864347
32.08,37.4,1.0700679382072806
34.41,39.3,-0.004210096301029864
33.1,38.5,0.8680234767487036
32.07,37.59,1.2728330799862917
32.54,38.1,1.1828714163730254
20.54,23.06,1.461041551179779
31.89,36.74,0.6526056320083882
31.95,33.71,-2.4539852186656432
