t,eff_se_40,eff_se_35
3,0.563,0.337
2.9583333333333335,0.562,0.363
2.9166666666666665,0.584,0.362
2.875,0.589,0.371
2.8333333333333335,0.615,0.39
2.7916666666666665,0.609,0.38
2.75,0.616,0.419
2.7083333333333335,0.658,0.421
2.6666666666666665,0.638,0.434
2.625,0.653,0.453
2.5833333333333335,0.662,0.455
2.5416666666666665,0.675,0.475
2.5,0.689,0.486
2.4583333333333335,0.701,0.483
2.416666666666667,0.723,0.512
2.375,0.726,0.513
2.3333333333333335,0.722,0.533
2.291666666666667,0.745,0.566
2.25,0.763,0.578
2.2083333333333335,0.754,0.574
2.166666666666667,0.772,0.596
2.125,0.766,0.594
2.0833333333333335,0.786,0.62
2.041666666666667,0.788,0.648
2,0.803,0.648
1.9583333333333335,0.812,0.67
1.9166666666666667,0.803,0.677
1.875,0.824,0.685
1.8333333333333335,0.826,0.685
1.7916666666666667,0.835,0.717
1.75,0.846,0.717
1.7083333333333335,0.859,0.736
1.6666666666666667,0.85,0.751
1.625,0.853,0.756
1.5833333333333335,0.861,0.745
1.5416666666666667,0.875,0.766
1.5,0.876,0.775
1.4583333333333335,0.886,0.774
1.4166666666666667,0.884,0.821
1.375,0.886,0.814
1.3333333333333335,0.896,0.812
1.2916666666666667,0.909,0.811
1.25,0.92,0.828
1.2083333333333335,0.91,0.845
1.1666666666666667,0.918,0.858
1.125,0.916,0.845
1.0833333333333335,0.924,0.869
1.0416666666666667,0.921,0.861
1,0.932,0.877
0.9583333333333335,0.927,0.878
0.916666666666667,0.936,0.883
0.875,0.938,0.888
0.8333333333333335,0.945,0.883
0.791666666666667,0.951,0.905
0.75,0.958,0.899
0.7083333333333335,0.963,0.897
0.666666666666667,0.955,0.907
0.625,0.966,0.91
0.5833333333333335,0.97,0.917
0.541666666666667,0.97,0.918
0.5,0.969,0.922
0.4583333333333335,0.973,0.924
0.41666666666666696,0.976,0.936
0.375,0.98,0.936
0.3333333333333335,0.973,0.945
0.29166666666666696,0.981,0.933
0.25,0.984,0.937
0.20833333333333348,0.984,0.929
0.16666666666666696,0.978,0.941
0.125,0.982,0.956
0.08333333333333348,0.989,0.938
0.04166666666666696,0.992,0.953
-0,0.982,0.945
