t,mean,lwr,upr,mean_baseline,lwr_baseline,upr_baseline,mean_smooth,lwr_smooth,upr_smooth,mean_baseline_smooth,lwr_baseline_smooth,upr_baseline_smooth,test
3,0.312,0,1,0.763,0,2,0.3160235913934713,0,1.0000000000000016,0.7606500280934101,0,1.9983155362304497,pcr
2.9583333333333335,0.308,0,1,0.766,0,2,0.3077191689796338,0,1.000000000000001,0.7605507697964493,0,2.0056398784779614,pcr
2.9166666666666665,0.312,0,1,0.791,0,2.0499999999999545,0.29952158273166646,0,1.0000000000000004,0.7604521288679477,0,2.012741215199538,pcr
2.875,0.266,0,1,0.747,0,2,0.291435954835856,0,0.9999999999999999,0.7603523553068128,0,2.0196480380333086,pcr
2.8333333333333335,0.3,0,1,0.746,0,2,0.28346740747848836,0,0.9999999999999997,0.7602496991119525,0,2.0263888386174043,pcr
2.7916666666666665,0.279,0,1,0.745,0,2,0.2756161604490808,0,0.9999999999999996,0.760142410282274,0,2.0329921085899563,pcr
2.75,0.267,0,1,0.775,0,2,0.2678777155239216,0,1,0.7600287388166856,0,2.0394863395890943,pcr
2.7083333333333335,0.253,0,1,0.732,0,2,0.2602501178694521,0,1,0.7599069347140951,0,2.045900023252948,pcr
2.6666666666666665,0.245,0,1,0.7,0,2,0.25273141265211435,0,1.0000000000000002,0.7597752479734097,0,2.05226165121965,pcr
2.625,0.276,0,1,0.826,0,2,0.24531964503835033,0,1.0000000000000002,0.7596319285935375,0,2.058599715127328,pcr
2.5833333333333335,0.256,0,1,0.787,0,3,0.2380205972928814,0,1.0000000000000002,0.7594768034852776,0,2.064911255640852,pcr
2.5416666666666665,0.224,0,1,0.729,0,2,0.2308373457897351,0,1.0000000000000002,0.7593122830850548,0,2.071155617129716,pcr
2.5,0.194,0,1,0.721,0,2,0.223763876859313,0,1.0000000000000002,0.7591404926802162,0,2.0773047467889936,pcr
2.4583333333333335,0.209,0,1,0.755,0,2,0.2167941768320161,0,1.0000000000000002,0.7589635575581084,0,2.0833305918137577,pcr
2.416666666666667,0.207,0,1,0.75,0,2,0.20992223203824578,0,1.0000000000000002,0.758783603006078,0,2.089205099399079,pcr
2.375,0.197,0,1,0.758,0,2,0.20313895703041032,0,1.0000000000000002,0.7586027543114716,0,2.094900216740033,pcr
2.3333333333333335,0.186,0,1,0.775,0,2,0.1964482833458081,0,1,0.7584231367616363,0,2.1003878910316898,pcr
2.291666666666667,0.204,0,1,0.795,0,2,0.18986372279217478,0,1,0.7582468756439186,0,2.1056400694691244,pcr
2.25,0.191,0,1,0.775,0,2,0.18339878717724603,0,1,0.758076096245665,0,2.1106286992474073,pcr
2.2083333333333335,0.182,0,1,0.749,0,2,0.17708797152969166,0,1,0.7579096682635198,0,2.1154904014828126,pcr
2.166666666666667,0.185,0,1,0.799,0,2,0.17093620594340142,0,1,0.7577447387138811,0,2.120343380884275,pcr
2.125,0.15,0,1,0.777,0,2.0499999999999545,0.16491265482394124,0,1,0.7575808488637275,0,2.125131960035857,pcr
2.0833333333333335,0.156,0,1,0.748,0,2,0.15898648257687725,0,1,0.7574175399800369,0,2.129800461521623,pcr
2.041666666666667,0.163,0,1,0.743,0,2,0.15312685360777545,0,1,0.7572543533297877,0,2.1342932079256376,pcr
2,0.135,0,1,0.747,0,2,0.1473318933079358,0,0.9999999999999999,0.7570908301799584,0,2.1385545218319653,pcr
1.9583333333333335,0.16,0,1,0.794,0,2,0.1416311727375006,0,0.9999999999999998,0.756926511797527,0,2.142528725824669,pcr
1.9166666666666667,0.133,0,1,0.75,0,3,0.13604102480529856,0,0.9999999999999997,0.7567609394494722,0,2.1461601424878136,pcr
1.875,0.113,0,1,0.75,0,2,0.1305777824201586,0,0.9999999999999996,0.7565936544027716,0,2.1493930944054624,pcr
1.8333333333333335,0.13,0,1,0.771,0,2,0.1250698379380406,0,1.002355339485371,0.7563899737019228,0,2.15285025703758,pcr
1.7916666666666667,0.127,0,1,0.794,0,3,0.11944330343327789,0,1.0078096001163692,0.7561260966804881,0,2.15701468967081,pcr
1.75,0.11,0,1,0.727,0,2,0.11386109139225983,0,1.0139451451553199,0.7558178880390443,0,2.1616212906292365,pcr
1.7083333333333335,0.113,0,1,0.753,0,2,0.10848611430137586,0,1.0183443378645483,0.7554812124781672,0,2.1664049582369436,pcr
1.6666666666666667,0.094,0,1,0.689,0,2,0.10348128464701521,0,1.01858954150638,0.7551319346984334,0,2.1711005908180145,pcr
1.625,0.112,0,1,0.746,0,2,0.09881685679565692,0,1.0247529745351645,0.7547859194004195,0,2.1754430866965353,pcr
1.5833333333333335,0.101,0,1,0.756,0,2,0.09433708439679837,0,1.040379774826018,0.7544590312847017,0,2.1791673441965886,pcr
1.5416666666666667,0.077,0,1,0.759,0,2,0.0900158788613565,0,1.0532616847724185,0.7541671350518565,0,2.1820082616422596,pcr
1.5,0.074,0,1,0.736,0,2,0.0858271516002483,0,1.0511904467678426,0.7539260954024601,0,2.1837007373576305,pcr
1.4583333333333335,0.076,0,1,0.735,0,2,0.08186830323183139,0,1.039482971032382,0.7537299437670073,0,2.1843960522424273,pcr
1.4166666666666667,0.092,0,1,0.754,0,2,0.07818933286799705,0,1.0291016469827612,0.75355932136812,0,2.1844573696076908,pcr
1.375,0.07,0,1,0.712,0,2,0.07469304965996298,0,1.0163064358074057,0.7534100075945674,0,2.1839374113944814,pcr
1.3333333333333335,0.077,0,1,0.817,0,3,0.07128226275894689,0,0.9973572986947414,0.7532777818351177,0,2.1828888995438605,pcr
1.2916666666666667,0.067,0,1,0.725,0,2,0.06785978131616643,0,0.9685141968331943,0.7531584234785397,0,2.1813645559968875,pcr
1.25,0.055,0,1,0.747,0,2,0.06457221997483574,0,0.9239785464983753,0.7530477119136016,0,2.1794171026946234,pcr
1.2083333333333335,0.055,0,1,0.8,0,3,0.06153617075172491,0,0.8667414231599219,0.7529414265290723,0,2.1770992615781286,pcr
1.1666666666666667,0.072,0,1,0.801,0,3,0.0586094088583855,0,0.8062472767972976,0.7528353467137202,0,2.1744637545884644,pcr
1.125,0.057,0,1,0.732,0,2,0.05564970950636912,0,0.7519405573899668,0.7527252518563139,0,2.17156330366669,pcr
1.0833333333333335,0.059,0,1,0.726,0,2,0.05269857800473967,0,0.691613885228229,0.7526250397032487,0,2.1683434715671632,pcr
1.0416666666666667,0.055,0,1,0.799,0,2.0499999999999545,0.04987753271442983,0,0.6141132656552679,0.752548142149599,0,2.1647112816041716,pcr
1,0.033,0,0,0.743,0,2,0.047164368424794316,0,0.5304632262298766,0.7524896398071527,0,2.1606616465586725,pcr
0.9583333333333335,0.055,0,1,0.759,0,2,0.044536879925187914,0,0.4516882945108478,0.7524446132876973,0,2.156189479211623,pcr
0.916666666666667,0.04,0,0,0.724,0,2,0.04197286200496537,0,0.3888129980569736,0.7524081432030205,0,2.151289692343979,pcr
0.875,0.04,0,0,0.762,0,2,0.03945953439244049,0,0.3318975195814985,0.75237531016491,0,2.1459571987366983,pcr
0.8333333333333335,0.044,0,0,0.768,0,2,0.03701284122609668,0,0.26940382771064825,0.7523411947851536,0,2.140186911170737,pcr
0.791666666666667,0.025,0,0,0.718,0,2,0.03465366391054288,0,0.20995912887268348,0.7523008776755388,0,2.1339737424270524,pcr
0.75,0.03,0,0,0.731,0,2,0.032402883850388045,0,0.1621906294958649,0.7522494394478532,0,2.127312605286601,pcr
0.7083333333333335,0.028,0,0,0.796,0,3,0.030246518864920656,0,0.12356755205936341,0.7521948842666645,0,2.1202133170262303,pcr
0.666666666666667,0.033,0,0,0.77,0,2,0.02816381241984299,0,0.08668702306346557,0.752147752213465,0,2.112687508414657,pcr
0.625,0.023,0,0,0.725,0,2,0.02616548438938481,0,0.052868104968108384,0.7521069277754296,0,2.1047328124706404,pcr
0.5833333333333335,0.02,0,0,0.778,0,2,0.024262254647775924,0,0.02342986023322999,0.7520712954397337,0,2.096346862212943,pcr
